title,core_count,performance_core_clock,performance_core_boost_clock,microarchitecture,tdp,integrated_graphics,rating,price
AMD Ryzen 9 PRO 7945,12,3.7,5.4,Zen 4,65,Radeon,,
Intel Core i5-3570K,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000,4.5,139.0
Intel Core i9-10900F,10,2.8,5.2,Comet Lake,65,,4.5,
Intel Core i3-10105,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,4.5,93.59
Intel Core i5-4670K,4,3.4,,Haswell,84,Intel HD Graphics 4600,4.5,105.86
Intel Core i5-2500K,4,3.3,,Sandy Bridge,95,Intel HD Graphics 3000,4.5,48.59
Intel Core i5-9400F,6,2.9,4.1,Coffee Lake Refresh,65,,5.0,
Intel Core i7-8700,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630,5.0,
Intel Core i9-9900K,8,3.6,5,Coffee Lake Refresh,95,Intel UHD Graphics 630,4.5,954.81
Intel Pentium G640,2,2.8,,Sandy Bridge,65,Intel HD Graphics,4.0,30.75
Intel Core i7-5820K,6,3.3,3.6,Haswell,140,,4.5,
Intel Core i7-6900K,8,3.2,3.7,Broadwell,140,,4.5,125.0
Intel Core i5-8600,6,3.1,4.3,Coffee Lake,65,Intel UHD Graphics 630,5.0,113.37
Intel Core i9-9940X,14,3.3,4.4,Skylake,165,,,1950.0
AMD Ryzen 5 3600,6,3.6,4.2,Zen 2,65,,5.0,
Intel Core i5-12600,6,3.3,4.8,Alder Lake,65,Intel UHD Graphics 770,4.5,271.99
Intel Xeon E5-2690 V4,14,2.6,3.5,Broadwell,135,,5.0,
Intel Core i9-12900F,16,2.4,5.1,Alder Lake,65,,,359.89
AMD Ryzen 9 3900X,12,3.8,4.6,Zen 2,105,,5.0,
Intel Core i5-8400,6,2.8,4,Coffee Lake,65,Intel UHD Graphics 630,5.0,198.95
Intel Core i3-7100T,2,3.4,,Kaby Lake,35,Intel HD Graphics 630,5.0,44.53
Intel Core i5-3570,4,3.4,,Ivy Bridge,77,Intel HD Graphics 2500,4.5,
Intel Core i5-11600,6,2.8,4.8,Rocket Lake,65,Intel UHD Graphics 750,5.0,140.0
AMD Athlon X2 340,2,3.2,,Piledriver,65,,,
Intel Core i7-4790,4,3.6,4,Haswell Refresh,84,Intel HD Graphics 4600,4.5,
AMD FX-6350,6,3.9,,Piledriver,125,,4.0,
Intel Core i9-7900X,10,3.3,4.5,Skylake,140,,4.5,
Intel Xeon E5-1630 V4,4,3.7,4,Broadwell,140,,,229.95
Intel Core i7-7700,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630,4.0,121.47
Intel Core i7-4960X Extreme Edition,6,3.6,4,Ivy Bridge,130,,5.0,775.04
AMD EPYC 4244P,6,3.8,5.1,Zen 4,65,Radeon,,238.99
Intel Core i7-9700K,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630,5.0,
AMD EPYC 4464P,12,3.7,5.4,Zen 4,65,Radeon,,479.99
Intel Core i5-11500,6,2.7,4.6,Rocket Lake,65,Intel UHD Graphics 750,4.5,335.28
AMD Threadripper 1920X,12,3.5,4,Zen,180,,4.5,250.0
Intel Core i3-12100T,4,2.2,4.1,Alder Lake,35,Intel UHD Graphics 730,,
Intel Pentium G4400,2,3.3,,Skylake,54,Intel HD Graphics 510,4.0,30.99
AMD Threadripper 2970WX,24,3,4.2,Zen+,250,,,894.99
Intel Core i7-8086K,6,4,5,Coffee Lake,95,Intel UHD Graphics 630,4.5,
Intel Core i9-10900X,10,3.7,4.7,Cascade Lake,165,,5.0,809.98
Intel Xeon E5-2620,6,2,,Sandy Bridge,95,,,36.75
Intel Celeron G5900,2,3.4,,Comet Lake,58,Intel UHD Graphics 610,5.0,67.98
Intel Core i9-12900,16,2.4,5.1,Alder Lake,65,Intel UHD Graphics 770,,442.28
AMD Ryzen 5 5600XT,6,3.7,4.7,Zen 3,65,,,
Intel Core i9-13900T,24,1.1,5.3,Raptor Lake,35,Intel UHD Graphics 770,5.0,
Intel Celeron G5925,2,3.6,,Comet Lake,58,Intel UHD Graphics 610,,59.99
Intel Pentium Gold G6400,2,4,,Comet Lake,58,Intel UHD Graphics 610,5.0,73.95
Intel Core i9-9900,8,3.1,5,Coffee Lake Refresh,65,Intel UHD Graphics 630,4.5,
AMD FX-9590,8,4.7,5,Piledriver,220,,4.5,292.58
Intel Core i7-4770S,4,3.1,,Haswell,65,Intel HD Graphics 4600,4.5,99.0
Intel Core i5-6500,4,3.2,3.6,Skylake,65,Intel HD Graphics 530,,149.94
Intel Core i9-13900F,24,2,5.6,Raptor Lake,65,,,
Intel Core i5-8500T,6,2.1,3.5,Coffee Lake,35,Intel UHD Graphics 630,5.0,125.0
Intel Core i3-6300,2,3.8,,Skylake,51,Intel HD Graphics 530,4.5,32.39
Intel Xeon E5-2650 V4,12,2.2,2.9,Broadwell,105,,,
Intel Core i7-7700K,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630,,
Intel Core i7-7820X,8,3.6,4.5,Skylake,140,,4.5,1208.32
Intel Celeron E3400,2,2.6,,Wolfdale,65,,,18.98
Intel Core i9-10900,10,2.8,5.2,Comet Lake,65,Intel UHD Graphics 630,4.5,410.0
Intel Core i7-4930K,6,3.4,3.9,Ivy Bridge,130,,4.5,98.0
Intel Core i9-9900K (Standard Folding Box),8,3.6,5,Coffee Lake Refresh,95,Intel UHD Graphics 630,4.5,598.88
AMD Ryzen 5 2600,6,3.4,3.9,Zen+,65,,,
AMD Ryzen 3 1300X,4,3.5,3.7,Zen,65,,4.5,
Intel Xeon E5-2630 V4,10,2.2,3.1,Broadwell,85,,,255.06
Intel Pentium G630,2,2.7,,Sandy Bridge,65,Intel HD Graphics,,30.74
Intel Core i7-2700K,4,3.5,,Sandy Bridge,95,Intel HD Graphics 3000,4.5,175.86
Intel Core i5-4440,4,3.1,3.3,Haswell,84,Intel HD Graphics 4600,4.5,100.0
AMD FX-8320,8,3.5,,Piledriver,125,,4.5,
Intel Core i3-3220,2,3.3,,Ivy Bridge,55,Intel HD Graphics 2500,4.5,
Intel Core i7-6700K,4,4,4.2,Skylake,91,Intel HD Graphics 530,4.5,
AMD Ryzen 3 1200 (12nm),4,3.1,3.4,Zen+,65,,4.5,89.8
Intel Pentium G4560,2,3.5,,Kaby Lake,54,Intel HD Graphics 610,4.5,79.0
Intel Core i7-7800X,6,3.5,4,Skylake,140,,4.5,499.99
Intel Core i5-2500,4,3.3,,Sandy Bridge,95,Intel HD Graphics 2000,4.5,
AMD Ryzen 7 3800X,8,3.9,4.5,Zen 2,105,,5.0,
Intel Core i5-14500T,14,1.7,4.8,Raptor Lake Refresh,35,Intel UHD Graphics 770,,
AMD Ryzen 5 3600X,6,3.8,4.4,Zen 2,95,,,
Intel 300,2,3.9,,Raptor Lake Refresh,46,Intel UHD Graphics 710,,116.45
Intel Core i9-11900,8,2.5,5.2,Rocket Lake,65,Intel UHD Graphics 750,5.0,395.0
Intel Core i9-11900F,8,2.5,5.2,Rocket Lake,65,,,
Intel Xeon E5-2683 V4,16,2.1,3,Broadwell,120,,,1998.95
AMD Ryzen 3 3200G,4,3.6,4,Zen+,65,Radeon Vega 8,5.0,
Intel Xeon E5-2695 V4,18,2.1,3.3,Broadwell,120,,,
Intel Core i5-9600K,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,,
AMD FX-4350,4,4.2,,Piledriver,125,,4.5,82.96
AMD Ryzen 5 2600X,6,3.6,4.2,Zen+,95,,4.5,
Intel Core i3-2100,2,3.1,,Sandy Bridge,65,Intel HD Graphics 2000,4.0,49.0
Intel Core i9-10940X,14,3.3,4.8,Cascade Lake,165,,,
Intel Core i7-6850K,6,3.6,3.8,Broadwell,140,,4.5,105.0
AMD Ryzen 5 3600,6,3.6,4.2,Zen 2,65,,5.0,
AMD Ryzen 9 3900,12,3.1,,Zen 2,65,,,
Intel Xeon E5-4620,8,2.2,2.6,Sandy Bridge,95,,,58.77
AMD Ryzen 5 3400G,4,3.7,4.2,Zen+,65,Radeon Vega 11,,
Intel Core i3-4170,2,3.7,,Haswell Refresh,54,Intel HD Graphics 4400,4.5,
AMD FX-8300,8,3.3,,Piledriver,95,,4.0,111.37
Intel Core i7-9700,8,3,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630,,335.01
Intel Xeon E5-2698 V4,20,2.2,3.6,Broadwell,135,,,
Intel Core i5-13500T,14,1.6,4.6,Raptor Lake,35,Intel UHD Graphics 770,,
AMD Threadripper 1900X,8,3.8,4,Zen,180,,4.5,240.0
AMD EPYC 4344P,8,3.8,5.3,Zen 4,65,Radeon,,350.99
AMD A8-6600K,4,3.9,,Piledriver,100,Radeon HD 8570D,4.5,92.86
Intel Core i7-6700,4,3.4,4,Skylake,65,Intel HD Graphics 530,,395.05
Intel Xeon E5-2699 V3,18,2.3,3.6,Haswell,145,,,
Intel Celeron G4900,2,3.1,,Coffee Lake,65,Intel UHD Graphics 610,,48.59
AMD A10-9700,4,3.5,3.8,Excavator,65,Radeon R7 (on-die),,135.22
Intel Core i5-7400T,4,2.4,3,Kaby Lake,35,Intel HD Graphics 630,,64.56
Intel Core i9-9980XE,18,3,4.4,Skylake,165,,,1498.95
Intel Celeron G5905,2,3.5,,Comet Lake,58,Intel UHD Graphics 610,,
Intel Core i7-5930K,6,3.5,3.7,Haswell,140,,4.5,
Intel Xeon E5-2630 V3,8,2.4,3.2,Haswell,85,,5.0,169.95
AMD Phenom II X6 1090T Black,6,3.2,,K10,125,,4.0,291.98
Intel Core i7-920,4,2.66,,Nehalem,130,,4.5,80.0
Intel Core i7-5960X,8,3,3.5,Haswell,140,,4.5,
Intel Core i5-9600,6,3.1,4.6,Coffee Lake Refresh,65,Intel UHD Graphics 630,,113.37
Intel Xeon E5-1650 V4,6,3.6,4,Broadwell,140,,,114.94
AMD FX-6300,6,3.5,,Piledriver,95,,,58.02
AMD Athlon II X4 640,4,3,,K10,95,,5.0,53.01
Intel Xeon E5-2670 V3,12,2.3,3.1,Haswell,120,,5.0,
Intel Core i7-7740X,4,4.3,4.5,Kaby Lake,112,,5.0,
Intel Xeon E5-2667 V3,8,3.2,3.6,Haswell,135,,5.0,298.95
AMD Threadripper 2950X,16,3.5,4.4,Zen+,180,,5.0,
AMD A8-7600,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die),4.5,113.07
AMD Ryzen 5 2400G,4,3.6,3.9,Zen,65,Radeon Vega 11,5.0,
AMD FX-8370,8,4,4.3,Piledriver,125,,4.5,257.01
AMD EPYC 4364P,8,4.5,5.4,Zen 4,105,Radeon,,389.99
Intel Core i5-3330,4,3,,Ivy Bridge,77,Intel HD Graphics 2500,4.5,
Intel Core i7-13700T,16,1.4,4.9,Raptor Lake,35,,4.0,
Intel Pentium Gold G6600,2,4.2,,Comet Lake,58,Intel UHD Graphics 630,,189.51
Intel Xeon E5-2697 V4,18,2.3,3.6,Broadwell,145,,,
AMD FX-8320,8,3.5,,Piledriver,125,,5.0,106.55
Intel Core i3-2120,2,3.3,,Sandy Bridge,65,Intel HD Graphics 2000,4.5,199.28
Intel Core i5-10600,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630,4.5,529.95
Intel Xeon E5-2683 V4,16,2.1,3,Broadwell,120,,,329.95
Intel Core i5-8600K,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630,,
AMD 5350,4,2.05,,Jaguar,25,Radeon HD 8400,4.5,
AMD FX-6100,6,3.3,,Bulldozer,95,,4.5,72.8
Intel Core i7-7700T,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630,4.0,498.95
Intel Core i5-4670,4,3.4,,Haswell,84,Intel HD Graphics 4600,4.5,118.22
AMD Ryzen 5 5600T,6,3.5,4.5,Zen 3,65,,,
Intel Core i7-9700F,8,3,4.7,Coffee Lake Refresh,65,,,279.0
Intel Core i7-3930K,6,3.2,,Sandy Bridge,130,,4.5,298.98
Intel Core i7-4820K,4,3.7,3.9,Ivy Bridge,130,,4.5,198.0
Intel Pentium Gold G5400,2,3.7,,Coffee Lake,58,Intel UHD Graphics 610,4.5,
Intel Core 2 Quad Q9300,4,2.5,,Yorkfield,95,,4.0,42.6
Intel Xeon E5-2680 V3,12,2.5,3.3,Haswell,120,,,
AMD A10-6700,4,3.7,,Piledriver,65,Radeon HD 8670D,,83.22
Intel Core i7-3770S,4,3.1,,Ivy Bridge,65,Intel HD Graphics 4000,4.5,70.0
Intel Core i7-6950X,10,3,3.5,Broadwell,140,,5.0,735.61
AMD Ryzen 9 3950X,16,3.5,4.7,Zen 2,105,,,
Intel Core i7-980X Extreme Edition,6,3.33,,Westmere,130,,5.0,
Intel Core i3-13100T,4,2.5,4.2,Raptor Lake,35,Intel UHD Graphics 730,,
Intel Core i5-13600,14,2.7,5,Raptor Lake,65,Intel UHD Graphics 770,,
Intel Core i9-9980XE,18,3,4.4,Skylake,165,,,1814.98
Intel Core i5-8400T,6,1.7,3.3,Coffee Lake,35,Intel UHD Graphics 630,,113.37
Intel Core i3-7320,2,4.1,,Kaby Lake,51,Intel HD Graphics 630,,59.0
AMD FX-4350,4,4.2,,Piledriver,125,,,55.05
Intel Core i5-9600KF,6,3.7,4.6,Coffee Lake Refresh,95,,5.0,344.99
Intel Core 2 Quad Q9550,4,2.83,,Yorkfield,95,,,52.55
Intel Xeon E5-2620 V3,6,2.4,3.2,Haswell,85,,,88.0
Intel Core i5-650,2,3.2,,Westmere,73,Intel HD Graphics,4.0,32.39
Intel Core i3-4160,2,3.6,,Haswell Refresh,54,Intel HD Graphics 4400,4.5,
AMD Athlon II 160u,1,1.8,,K10,20,,,
AMD Ryzen 5 PRO 7645,6,3.8,5.1,Zen 4,65,Radeon,,
Intel Xeon E5-2697 V2,12,2.7,3.5,Ivy Bridge,130,,,
AMD Ryzen 7 PRO 7745,8,3.8,5.3,Zen 4,65,Radeon,,
AMD A10-7850K,4,3.7,4,Steamroller,95,Radeon R7 (on-die),4.5,139.84
Intel Core i7-5820K,6,3.3,3.6,Haswell,140,,4.0,429.95
Intel Celeron G3900,2,2.8,,Skylake,51,Intel HD Graphics 510,,48.56
Intel Core i5-3450,4,3.1,,Ivy Bridge,77,Intel HD Graphics 2500,4.5,95.0
Intel Core i7-3820,4,3.6,,Sandy Bridge,130,,4.5,
Intel Core i7-8700T,6,2.4,4,Coffee Lake,35,Intel UHD Graphics 630,,285.38
AMD FX-4300,4,3.8,,Piledriver,95,,4.0,
Intel Core i7-4790S,4,3.2,4,Haswell Refresh,65,Intel HD Graphics 4000,5.0,
Intel Xeon E5-2680,8,2.7,3.5,Sandy Bridge,130,,4.5,110.0
Intel Xeon E5-1620 V2,4,3.7,3.9,Ivy Bridge,130,,5.0,
Intel Xeon E5-2640 V4,10,2.4,3.4,Broadwell,90,,,
Intel Core i5-3470S,4,2.9,,Ivy Bridge,65,Intel HD Graphics 2500,,44.99
AMD A10-5700,4,3.4,,Piledriver,65,Radeon HD 7660D,,72.51
Intel Core i7-860,4,2.8,,Nehalem,95,,4.0,203.98
Intel Core i3-8350K,4,4,,Coffee Lake,91,Intel UHD Graphics 630,4.5,
AMD A8-9600,4,3.1,3.4,Excavator,65,Radeon R7 (on-die),,
Intel Core i9-10850KA Avengers Limited Edition,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,,
AMD Ryzen 7 1700X,8,3.4,3.8,Zen,95,,4.0,
Intel Core i7-870,4,2.93,,Nehalem,95,,4.0,48.59
Intel Core 2 Quad Q6600,4,2.4,,Core,100,,3.5,
Intel Core i7-6700T,4,2.8,3.6,Skylake,35,Intel HD Graphics 530,,
Intel Core i3-8100T,4,3.1,,Coffee Lake,35,Intel UHD Graphics 630,,
AMD EPYC 4584PX,16,4.2,5.7,Zen 4,120,Radeon,,
Intel Core i7-4770K,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,5.0,300.0
Intel Xeon E5-2650,8,2,2.8,Sandy Bridge,95,,5.0,69.94
Intel Core i5-4430,4,3,,Haswell,84,Intel HD Graphics 4600,4.5,
Intel Core i5-6402P,4,2.8,3.4,Skylake,65,Intel HD Graphics 510,3.5,74.02
Intel Xeon E-2288G,8,3.7,5,Coffee Lake Refresh,95,Intel HD Graphics P630,,
AMD FX-6120,6,3.5,4.1,Bulldozer,95,,,58.53
Intel Core i5-4570T,2,2.9,,Haswell,35,Intel HD Graphics 4600,3.0,70.81
Intel Core i5-3550,4,3.3,,Ivy Bridge,77,Intel HD Graphics 2500,4.0,335.0
Intel Core i5-2320,4,3,,Sandy Bridge,95,Intel HD Graphics 2000,4.0,
Intel Core i3-530,2,2.93,,Westmere,73,Intel HD Graphics,3.0,45.0
Intel Core i5-9500T,6,2.2,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630,,
AMD A8-7680,4,3.5,3.8,Puma+,65,Radeon R7 (on-die),,
AMD FX-8350,8,4,,Piledriver,125,,4.5,192.49
AMD A10-7700K,4,3.4,3.8,Steamroller,95,Radeon R7 (on-die),4.5,132.86
AMD Ryzen 7 PRO 7745,8,3.8,5.3,Zen 4,65,Radeon,,
Intel Core i3-2120T,2,2.6,,Sandy Bridge,35,Intel HD Graphics 2000,5.0,40.0
Intel Pentium Gold G6405,2,4.1,,Comet Lake,58,Intel UHD Graphics 610,,99.99
Intel Core i7-3970X Extreme Edition,6,3.5,,Sandy Bridge,150,,5.0,175.0
Intel Xeon E3-1231 V3,4,3.4,3.8,Haswell Refresh,80,,4.5,
Intel Core i7-10700K Avengers Collector\\\'s Edition,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,,741.0
Intel Core i5-4690,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600,,48.59
AMD A6-7400K,2,3.5,3.9,Steamroller,65,Radeon R5 (on die),4.0,89.98
Intel Core i5-7600K,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630,,
AMD Ryzen 3 2200G,4,3.5,3.7,Zen,65,Radeon Vega 8,,
AMD Phenom II X4 820,4,2.8,,K10,95,,,52.64
Intel Xeon E3-1270 V3,4,3.5,3.9,Haswell,80,,,410.0
Intel Core i7-2600S,4,2.8,,Sandy Bridge,65,Intel HD Graphics 2000,5.0,99.99
Intel Core i3-3240,2,3.4,,Ivy Bridge,55,Intel HD Graphics 2500,4.0,199.0
AMD A10-7800,4,3.5,3.9,Steamroller,65,Radeon R7 (on-die),,
Intel Xeon E5-2697 V3,14,2.6,3.6,Haswell,145,,5.0,
Intel Core i9-7980XE,18,2.6,4.4,Skylake,165,,,1249.95
Intel Core i7-5775C,4,3.3,3.7,Broadwell,65,Iris Pro Graphics 6200,5.0,
Intel Core i5-4690K,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600,5.0,
Intel Core i7-9800X,8,3.8,4.5,Skylake,165,,,
Intel Core i7-4770K,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,,115.0
Intel Core i5-750,4,2.66,,Nehalem,95,,4.5,86.28
AMD Phenom II X4 965 Black,4,3.4,,K10,125,,4.5,
AMD A8-5600K,4,3.6,,Piledriver,100,Radeon HD 7560D,4.0,184.28
Intel Xeon E5-2620 V4,8,2.1,3,Broadwell,85,,5.0,
AMD FX-6350,6,3.9,,Piledriver,125,,4.5,
Intel Core i5-760,4,2.8,,Nehalem,95,,5.0,32.39
Intel Core i3-9100T,4,3.1,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630,,
Intel Core i9-9900X,10,3.5,4.4,Skylake,165,,,579.99
Intel Core 2 Quad Q9650,4,3,,Yorkfield,95,,5.0,
Intel Core i5-2310,4,2.9,,Sandy Bridge,95,Intel HD Graphics 2000,4.5,
Intel Core i5-7500,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630,,
Intel Pentium G2120,2,3.1,,Ivy Bridge,55,Intel HD Graphics,4.0,35.0
AMD FX-9370,8,4.4,4.7,Piledriver,220,,4.0,216.59
Intel Core 2 Duo E7500,2,2.93,,Wolfdale,65,,4.5,149.0
Intel Core i7-990X Extreme Edition,6,3.467,,Westmere,130,,4.0,
AMD A10-6800K,4,4.1,,Piledriver,100,Radeon HD 8670D,4.5,
Intel Core i5-4590S,4,3,3.7,Haswell Refresh,65,Intel HD Graphics 4000,4.5,
Intel Core i5-9500F,6,3,4.4,Coffee Lake Refresh,65,,,
AMD Athlon X4 860K,4,3.7,4,Steamroller,95,,4.5,
Intel Core i5-6400,4,2.7,3.3,Skylake,65,Intel HD Graphics 530,4.5,
Intel Core 2 Extreme QX9770,4,3.2,,Yorkfield,136,,5.0,
AMD FX-8320E,8,3.2,4,Piledriver,95,,4.5,
Intel Core i5-9400,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630,,
Intel Pentium G3258,2,3.2,,Haswell Refresh,53,Intel HD Graphics,4.5,124.99
Intel Xeon E5-2690 V3,12,2.6,3.5,Haswell,135,,5.0,
Intel Core i9-9960X,16,3.1,4.4,Skylake,165,,,999.99
Intel Celeron G3930,2,2.9,,Kaby Lake,51,Intel HD Graphics 610,4.5,54.33
Intel Pentium G2020,2,2.9,,Ivy Bridge,55,Intel HD Graphics,4.5,34.99
AMD A10-6700,4,3.7,,Piledriver,65,Radeon HD 8670D,5.0,102.76
AMD A6-9500E,2,3,3.4,Excavator,35,Radeon R5 (on die),,
Intel Core i3-9350KF,4,4,4.6,Coffee Lake Refresh,91,,4.0,136.06
Intel Core i9-9820X,10,3.3,4.1,Skylake,165,,4.5,
Intel Core i3-10300,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,5.0,159.99
Intel Celeron G3930T,2,2.7,,Kaby Lake,35,Intel HD Graphics 610,,39.0
Intel Celeron G4900,2,3.1,,Coffee Lake,65,Intel UHD Graphics 610,4.5,72.55
Intel Xeon E3-1230 V2,4,3.3,,Ivy Bridge,69,,5.0,274.0
Intel Core i5-6500T,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,,229.95
Intel Celeron G440,1,1.6,,Sandy Bridge,35,Intel HD Graphics,,
