title,core_count,performance_core_clock,performance_core_boost_clock,microarchitecture,tdp,integrated_graphics,rating,price
Intel Pentium G620,2,2.6,,Sandy Bridge,65,Intel HD Graphics,4.5,
Intel Xeon E3-1265L V2,4,2.5,,Ivy Bridge,45,Intel HD Graphics 2500,,
Intel Pentium G3240,2,3.1,,Haswell Refresh,53,Intel HD Graphics,4.0,
AMD Phenom II X2 B59,2,3.4,,K10,80,,3.0,
Intel Xeon E5-2660 V3,10,2.6,3.3,Haswell,105,,,
Intel Core i7-3770T,4,2.5,3.7,Ivy Bridge,45,Intel HD Graphics 4000,,
Intel Core i7-4790T,4,2.7,3.9,Haswell Refresh,45,,,149.88
Intel Xeon E3-1240 V5,4,3.5,3.9,Skylake,80,,,
Intel Core i5-3550S,4,3,3.7,Ivy Bridge,65,Intel HD Graphics 2500,,
AMD Ryzen 7 1800X,8,3.6,4,Zen,95,,5.0,
Intel Core i5-9400T,6,1.8,3.4,Coffee Lake Refresh,35,Intel UHD Graphics 630,,
Intel Core i3-3220T,2,2.8,,Ivy Bridge,35,Intel HD Graphics 2500,,129.0
AMD Phenom II X4 975,4,3.6,,K10,125,,,168.02
Intel Xeon E3-1241 V3,4,3.5,3.9,Haswell Refresh,80,,4.5,298.0
Intel Pentium Gold G6500,2,4.1,,Comet Lake,58,Intel UHD Graphics 630,,
AMD Athlon II X2 250u,2,1.6,,K10,25,,,
Intel Celeron E3400,2,2.6,,Wolfdale,65,,,
Intel Core i7-930,4,2.8,,Nehalem,130,,,
Intel Core 2 Quad Q6700,4,2.66,,Core,100,,4.5,
Intel Core i7-970,6,3.2,,Westmere,130,,,
AMD FX-8100,8,2.8,,Bulldozer,95,,,
AMD Athlon II X4 651K,4,3,,Lynx,100,,,
Intel Xeon E3-1275 V2,4,3.5,,Ivy Bridge,77,Intel HD Graphics P4000,,
AMD FX-9370,8,4.4,4.7,Piledriver,220,,5.0,
AMD FX-9590,8,4.7,5,Piledriver,220,,5.0,
AMD 3850,4,1.3,,Jaguar,25,Radeon HD 8280,3.0,
AMD FX-4100,4,3.6,,Bulldozer,95,,,
Intel Xeon E5-1630 V3,4,3.7,3.8,Haswell,140,,5.0,
Intel Xeon E5-2640 V3,8,2.6,3.4,Haswell,90,,,189.95
Intel Xeon E3-1270 V5,4,3.6,4,Skylake,80,,,
Intel Pentium G3260,2,3.3,,Haswell Refresh,53,Intel HD Graphics,5.0,
AMD Athlon 5370,4,2.2,,Jaguar,25,Radeon R3 (on die),,
Intel Core i7-7820X,8,3.6,4.5,Skylake,140,,,
Intel Core i7-7800X,6,3.5,4,Skylake,140,,,
Intel Xeon E5-2450V2,8,2.5,3.3,Ivy Bridge,95,,,
Intel Core i3-9350K,4,4,4.6,Coffee Lake Refresh,91,Intel HD Graphics 630,,
Intel Xeon E-2176G,6,3.7,4.7,Coffee Lake,80,Intel HD Graphics P630,,
Intel Xeon E-2136,6,3.3,4.5,Coffee Lake,80,,,776.77
Intel Xeon E-2174G,4,3.8,4.7,Coffee Lake,71,Intel HD Graphics P630,,655.27
Intel Xeon E-2246G,6,3.6,4.8,Coffee Lake Refresh,80,Intel HD Graphics P630,,
Intel Core i3-2125,2,3.3,,Sandy Bridge,65,Intel HD Graphics 3000,,152.0
Intel Core 2 Duo E6550,2,2.33,,Core,65,,,95.91
Intel Core i5-3450S,4,2.8,,Ivy Bridge,65,Intel HD Graphics 2500,5.0,85.0
Intel Xeon E5-2695 V3,14,2.3,3.3,Haswell,120,,,498.95
Intel Pentium E6600,2,3.06,,Wolfdale,65,,,
Intel Core 2 Duo E8500,2,3.16,,Wolfdale,65,,,
Intel Core i5-661,2,3.33,,Westmere,87,Intel HD Graphics,,80.0
Intel Core 2 Quad Q9550S,4,2.83,,Yorkfield,65,,,
AMD A6-3670K,4,2.7,,Lynx,100,Radeon HD 6530D,,
Intel Xeon E3-1270,4,3.4,,Sandy Bridge,80,,,
Intel Xeon E3-1245 V2,4,3.4,,Ivy Bridge,77,Intel HD Graphics P4000,4.0,315.0
Intel Celeron G1620,2,2.7,,Ivy Bridge,55,Intel HD Graphics,5.0,
Intel Celeron G1820,2,2.7,,Haswell,53,Intel HD Graphics,5.0,
Intel Xeon E3-1226 V3,4,3.3,3.7,Haswell Refresh,84,Intel HD Graphics P4600,,
Intel Xeon E5-2670,8,2.6,3.3,Sandy Bridge,115,,,
AMD A8-7600,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die),,
AMD Athlon X4 860K,4,3.7,4,Steamroller,95,,5.0,
AMD FX-8370,8,4,4.3,Piledriver,125,,,
AMD Pro A8-7600B,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die),,
Intel Xeon E5-1650 V4,6,3.6,4,Broadwell,140,,,
Intel Core i3-7300,2,4,,Kaby Lake,51,Intel HD Graphics 630,4.0,
Intel Xeon E3-1270 V6,4,3.8,4.2,Kaby Lake,72,,,
Intel Pentium Gold G5400,2,3.7,,Coffee Lake,58,Intel UHD Graphics 610,4.0,
Intel Core i5-9500F,6,3,4.4,Coffee Lake Refresh,65,,,
Intel Core i5-9400,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630,,
Intel Xeon E-2276G,6,3.8,4.9,Coffee Lake Refresh,80,Intel HD Graphics P630,4.0,
Intel Core 2 Duo E8400,2,3,,Wolfdale,65,,5.0,98.95
Intel Pentium G840,2,2.8,,Sandy Bridge,65,Intel HD Graphics,,514.55
Intel Core i7-860,4,2.8,,Nehalem,95,,4.0,189.95
AMD A4-3400,2,2.7,,Lynx,65,Radeon HD 6410D,,134.09
Intel Core i3-6300T,2,3.3,,Skylake,35,Intel HD Graphics 530,,139.99
AMD Athlon II X2 235e,2,2.7,,K10,45,,3.0,
AMD Athlon II X2 240e,2,2.8,,K10,45,,,
Intel Pentium E2220,2,2.4,,Core,65,,,
Intel Core 2 Duo E4300,2,1.8,,Core,65,,,75.0
Intel Pentium E5200,2,2.5,,Wolfdale,65,,4.0,
Intel Core i7-880,4,3.06,,Nehalem,95,,,
Intel Core 2 Quad Q8300,4,2.5,,Yorkfield,95,,,
Intel Core 2 Quad Q9550S,4,2.83,,Yorkfield,65,,4.0,
Intel Core 2 Extreme QX6850,4,3,,Core,130,,,
Intel Core 2 Extreme X6800,2,2.93,,Core,75,,,
AMD Phenom II X6 1075T,6,3,,K10,95,,4.5,
AMD Phenom II X6 1035T,6,2.6,,K10,95,,5.0,
Intel Pentium G850,2,2.9,,Sandy Bridge,65,Intel HD Graphics,5.0,
Intel Celeron G530,2,2.4,,Sandy Bridge,65,Intel HD Graphics,4.0,41.86
AMD Phenom II X4 970,4,3.5,,K10,125,,,
AMD A6-5400K,2,3.6,,Piledriver,65,Radeon HD 7540D,4.0,
Intel Xeon E3-1225 V2,4,3.2,,Ivy Bridge,77,Intel HD Graphics P4000,,214.5
AMD FX-4130,4,3.8,,Bulldozer,125,,4.0,
AMD Athlon X4 740,4,3.2,,Piledriver,65,,4.0,
Intel Xeon E3-1275 V3,4,3.5,3.9,Haswell,84,Intel HD Graphics P4600,,
Intel Core i5-3340S,4,2.8,3.3,Ivy Bridge,65,Intel HD Graphics 2500,,
Intel Xeon E5-2603,4,1.8,,Sandy Bridge,80,,,98.95
Intel Core i3-6320,2,3.9,,Skylake,51,Intel HD Graphics 530,5.0,
Intel Core i5-6400T,4,2.2,2.8,Skylake,35,Intel HD Graphics 530,,
Intel Xeon E3-1240 V5,4,3.5,3.9,Skylake,80,,,
AMD Opteron 6344,12,2.6,3.2,Piledriver,115,,,
Intel Celeron G3950,2,3,,Kaby Lake,51,Intel HD Graphics 610,,
Intel Core i5-7600T,4,2.8,3.7,Kaby Lake,35,Intel HD Graphics 630,,229.95
Intel Core i7-7700T,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630,,
Intel Xeon E3-1280 V6,4,3.9,4.2,Kaby Lake,72,,,562.0
Intel Core i3-8350K,4,4,,Coffee Lake,91,Intel UHD Graphics 630,5.0,
Intel Core i7-9800X,8,3.8,4.5,Skylake,165,,,
Intel Xeon E-2124G,4,3.4,4.5,Coffee Lake,71,Intel HD Graphics P630,,
AMD Pro A10-7850B,4,3.7,4,Steamroller,95,Radeon R7 (on-die),,152.77
Intel Xeon E3-1230 V2,4,3.3,,Ivy Bridge,69,,,189.95
Intel Xeon E3-1225 V6,4,3.3,3.7,Kaby Lake,73,Intel HD Graphics P630,,369.51
Intel Core 2 Duo E6320,2,1.86,,Core,65,,,89.95
Intel Core i5-670,2,3.46,,Westmere,73,Intel HD Graphics,,109.08
Intel Core i3-4350,2,3.6,,Haswell Refresh,54,Intel HD Graphics 4600,5.0,
Intel Xeon E5-2637 V3,4,3.5,3.7,Haswell,135,,,
Intel Xeon E3-1240 V6,4,3.7,4.1,Kaby Lake,72,,,429.95
Intel Xeon E3-1230 V6,4,3.5,3.9,Kaby Lake,72,,,455.49
Intel Xeon E3-1285 V6,4,4.1,4.5,Kaby Lake,79,Intel HD Graphics 630,,989.95
Intel Core i9-7920X,12,2.9,4.4,Skylake,140,,,
Intel Core i3-3240T,2,2.9,,Ivy Bridge,35,Intel HD Graphics 2500,,
AMD Athlon II X2 250,2,3,,K10,65,,,
AMD Athlon II X2 260,2,3.2,,K10,65,,,
AMD Phenom II X6 1055T,6,2.8,,K10,125,,,199.99
AMD Phenom II X4 910e,4,2.6,,K10,65,,,
Intel Pentium E2180,2,2,,Core,65,,,
Intel Pentium E2200,2,2.2,,Core,65,,,
Intel Pentium E6300,2,2.8,,Wolfdale,65,,,
Intel Core 2 Duo E6420,2,2.13,,Core,65,,,69.95
Intel Pentium E6500,2,2.93,,Wolfdale,65,,,149.27
Intel Core 2 Duo E6750,2,2.66,,Core,65,,,89.95
Intel Core 2 Quad Q9400,4,2.66,,Yorkfield,95,,,
AMD Athlon II X4 645,4,3.1,,K10,95,,4.0,
Intel Pentium E5500,2,2.8,,Wolfdale,65,,,
Intel Pentium E6800,2,3.333,,Wolfdale,65,,,
AMD Phenom II X3 720 Black,3,2.8,,K10,95,,5.0,
AMD Athlon II X3 460,3,3.4,,K10,95,,,
AMD A6-3500,3,2.1,,Lynx,65,Radeon HD 6530D,3.0,
Intel Core i5-2380P,4,3.1,,Sandy Bridge,95,,,
Intel Xeon E5-2609,4,2.4,,Sandy Bridge,80,,,89.95
Intel Core i3-3245,2,3.4,,Ivy Bridge,55,Intel HD Graphics 4000,5.0,109.0
AMD A6-6420K,2,4,4.2,Piledriver,65,Radeon HD 8000 Series,5.0,
AMD A10-7800,4,3.5,3.9,Steamroller,65,Radeon R7 (on-die),,
Intel Celeron G470,1,2,,Sandy Bridge,35,Intel HD Graphics,,
AMD FX-8120,8,3.1,,Bulldozer,125,,,
Intel Xeon E3-1246 V3,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics P4600,5.0,
Intel Core i7-5960X,8,3,3.5,Haswell,140,,,
Intel Xeon E5-1650 V3,6,3.5,3.8,Haswell,140,,,
AMD FX-8310,8,3.4,4.3,Piledriver,95,,4.0,
Intel Core i5-4670S,4,3.1,3.8,Haswell,65,Intel HD Graphics 4600,5.0,
Intel Core i5-5675C,4,3.1,3.6,Broadwell,65,Iris Pro Graphics 6200,,
Intel Pentium G4500,2,3.5,,Skylake,51,Intel HD Graphics 530,4.5,
Intel Pentium G4400,2,3.3,,Skylake,54,Intel HD Graphics 510,,
Intel Xeon E3-1280 V5,4,3.7,4,Skylake,80,,,
Intel Core i7-6900K,8,3.2,3.7,Broadwell,140,,,289.08
AMD Athlon X4 940,4,3.2,3.6,Excavator,65,,,
Intel Pentium Gold G5500,2,3.8,,Coffee Lake,54,Intel UHD Graphics 630,,
Intel Xeon E-2134,4,3.5,4.5,Coffee Lake,71,,,
Intel Xeon E-2146G,6,3.5,4.5,Coffee Lake,80,Intel HD Graphics P630,,
Intel Celeron G540,2,2.5,,Sandy Bridge,65,Intel HD Graphics,4.0,69.98
Intel Core 2 Duo E7600,2,3.06,,Wolfdale,65,,,98.95
Intel Core i3-560,2,3.333,,Westmere,73,Intel HD Graphics,4.0,89.95
AMD Athlon II X2 220,2,2.8,,K10,65,,3.0,
AMD Phenom II X4 945,4,3,,K10,125,,4.0,
AMD Phenom II X4 940 Black,4,3,,K10,125,,,
Intel Core 2 Duo E6400,2,2.13,,Core,65,,,74.9
Intel Core 2 Duo E6400,2,2.13,,Core,65,,4.0,89.95
Intel Pentium E6600,2,3.06,,Wolfdale,65,,,
Intel Core 2 Duo E7200,2,2.53,,Wolfdale,65,,,169.95
Intel Core 2 Duo E8300,2,2.83,,Wolfdale,65,,,99.95
Intel Core 2 Duo E8500,2,3.16,,Wolfdale,65,,,
Intel Core 2 Duo E8600,2,3.33,,Wolfdale,65,,4.5,
Intel Core i5-750,4,2.66,,Nehalem,95,,,398.0
AMD Phenom II X2 545,2,3,,K10,80,,5.0,
AMD Phenom II X2 560 Black,2,3.3,,K10,80,,,
AMD Sempron 145,1,2.8,,K10,45,,4.0,
Intel Celeron E3500,2,2.7,,Wolfdale,65,,,
AMD Phenom II X4 975,4,3.6,,K10,125,,5.0,
AMD Phenom II X4 965,4,3.4,,K10,125,,4.0,
AMD A6-3650,4,2.6,,Lynx,100,Radeon HD 6530D,4.0,
Intel Core i3-2105,2,3.1,,Sandy Bridge,65,Intel HD Graphics 3000,,
Intel Core i5-2405S,4,2.5,,Sandy Bridge,65,Intel HD Graphics 3000,,
Intel Core i5-2450P,4,3.2,,Sandy Bridge,95,,,
AMD A10-5700,4,3.4,,Piledriver,65,Radeon HD 7660D,5.0,
Intel Xeon E3-1220,4,3.1,,Sandy Bridge,80,,,
Intel Xeon E3-1280,4,3.5,,Sandy Bridge,95,,,
AMD A10-6790K,4,4,4.3,Piledriver,100,Radeon HD 8670D,4.5,
Intel Xeon E5-2620,6,2,,Sandy Bridge,95,,,77.0
AMD A10-6700T,4,2.5,3.5,Piledriver,45,Radeon HD 8650D,,
AMD A10-7700K,4,3.4,3.8,Steamroller,95,Radeon R7 (on-die),,
Intel Core i3-4360T,2,3.2,,Haswell Refresh,35,Intel HD Graphics 4600,,
Intel Xeon E5-2690,8,2.9,3.8,Sandy Bridge,135,,5.0,
Intel Xeon E5-2637 V2,4,3.5,3.8,Ivy Bridge,130,,,
AMD Pro A4-7300B,2,3.8,4,Piledriver,65,Radeon HD 8470D,,
AMD Athlon X4 840,4,3.1,3.8,Steamroller,65,,,
Intel Xeon E5-2620 V3,6,2.4,3.2,Haswell,85,,,149.94
Intel Xeon E5-2630 V3,8,2.4,3.2,Haswell,85,,,459.0
Intel Xeon E3-1270 V3,4,3.5,3.9,Haswell,80,,,
AMD A4-7300,2,3.8,4,Piledriver,65,Radeon HD 8470D,,
Intel Pentium G4520,2,3.6,,Skylake,51,Intel HD Graphics 530,4.5,
Intel Core i7-6700T,4,2.8,3.6,Skylake,35,Intel HD Graphics 530,,
Intel Xeon E3-1260L V5,4,2.9,3.9,Skylake,45,,,
AMD Opteron 6320,8,2.8,3.3,Piledriver,115,,,242.39
Intel Xeon E5-2603 V4,6,1.7,,Broadwell,85,,,449.95
Intel Core i3-7300T,2,3.5,,Kaby Lake,35,Intel HD Graphics 630,,
Intel Core i9-7900X,10,3.3,4.5,Skylake,140,,,
Intel Xeon E5-2440V2,8,1.9,2.4,Ivy Bridge,95,,,
AMD Athlon X4 970,4,3.8,4,Excavator,65,,,
Intel Core i3-8300T,4,3.2,,Coffee Lake,35,Intel UHD Graphics 630,,
Intel Celeron G4900T,2,1.8,,Coffee Lake,35,Intel UHD Graphics 610,,
Intel Pentium Gold G5500T,2,3.2,,Coffee Lake,35,Intel UHD Graphics 630,,
Intel Xeon E5-2660,8,2.2,3,Sandy Bridge,95,,,
AMD Athlon 240GE,2,3.5,,Zen,35,Radeon Vega 3,,
AMD A6-7480,2,3.5,3.8,Puma+,65,Radeon R5 (on die),,
Intel Xeon E-2146G,6,3.5,4.5,Coffee Lake,80,Intel HD Graphics P630,,
Intel Celeron G5925,2,3.6,,Comet Lake,58,Intel UHD Graphics 610,,
Intel Core i5-4670T,4,2.3,,Haswell,45,Intel HD Graphics 4600,,
Intel Pentium G870,2,3.1,,Sandy Bridge,65,Intel HD Graphics,,67.64
Intel Pentium G4620,2,3.7,,Kaby Lake,51,Intel HD Graphics 630,,224.12
Intel Xeon E3-1275 V6,4,3.8,4.2,Kaby Lake,73,Intel HD Graphics P630,,498.95
Intel Pentium Gold G5500,2,3.8,,Coffee Lake,54,Intel UHD Graphics 630,,
Intel Xeon E5-2620,6,2,,Sandy Bridge,95,,,139.94
Intel Xeon E-2124G,4,3.4,4.5,Coffee Lake,71,Intel HD Graphics P630,,270.99
Intel Celeron G5920,2,3.5,,Comet Lake,58,Intel UHD Graphics 610,,
AMD Athlon II X2 215,2,2.7,,K10,65,,,
AMD Phenom II X4 810,4,2.6,,K10,95,,5.0,
AMD Phenom II X4 955 Black,4,3.2,,K10,125,,4.5,
AMD Phenom II X4 965 Black (140W),4,3.4,,K10,140,,,
Intel Pentium E2140,2,1.6,,Core,65,,,
Intel Core 2 Duo E4400,2,2,,Core,65,,,
Intel Core 2 Duo E4500,2,2.2,,Core,65,,,
Intel Core 2 Duo E4600,2,2.4,,Core,65,,,98.95
Intel Pentium E5300,2,2.6,,Wolfdale,65,,,79.4
Intel Core 2 Duo E7500,2,2.93,,Wolfdale,65,,,
Intel Core 2 Duo E8200,2,2.66,,Wolfdale,65,,,
Intel Core i5-660,2,3.33,,Westmere,73,Intel HD Graphics,,149.94
Intel Core i7-920,4,2.66,,Nehalem,130,,3.0,
AMD Athlon II X3 450,3,3.2,,K10,95,,4.5,
AMD Phenom II X4 830,4,2.8,,K10,95,,3.5,55.05
AMD Athlon II X2 270,2,3.4,,K10,65,,4.0,
AMD Phenom II X4 960T Black,4,3,,K10,95,,4.5,
AMD Phenom II X6 1045T,6,2.7,,K10,95,,4.0,
AMD FX-4170,4,4.2,,Bulldozer,125,,4.5,
Intel Celeron G465,2,1.9,,Sandy Bridge,35,Intel HD Graphics,,
Intel Xeon E3-1245,4,3.3,,Sandy Bridge,95,Intel HD Graphics,5.0,
Intel Pentium G2010,2,2.8,,Ivy Bridge,55,Intel HD Graphics,,
Intel Xeon E5-2660,8,2.2,3,Sandy Bridge,95,,,
Intel Xeon E5-2603 V2,4,1.8,,Ivy Bridge,80,,,
Intel Xeon E5-2620 V2,6,2.1,2.6,Ivy Bridge,80,,,
AMD FX-4130,4,3.8,,Bulldozer,125,,4.0,
Intel Core i3-4360,2,3.7,,Haswell Refresh,54,Intel HD Graphics 4600,4.5,
Intel Pentium G3450,2,3.4,,Haswell Refresh,53,Intel HD Graphics,5.0,
AMD Sempron 145,1,2.8,,K10,45,,,
AMD Sempron 150,1,2.9,,K10,45,,,
AMD A10-6800K,4,4.1,,Piledriver,100,Radeon HD 8670D,,
AMD A10-6800B,4,4.1,4.4,Piledriver,100,Radeon HD 8670D,,
AMD A4-6320,2,3.8,4,Piledriver,65,Radeon HD 8370D,5.0,
Intel Core i3-4370,2,3.8,,Haswell Refresh,54,Intel HD Graphics 4600,,
Intel Xeon E3-1276 V3,4,3.6,4,Haswell Refresh,84,Intel HD Graphics P4600,,
Intel Xeon E5-2687W,8,3.1,3.8,Sandy Bridge,150,,,
Intel Xeon E5-1660 V2,6,3.7,4,Ivy Bridge,130,,,
AMD FX-8320E,8,3.2,4,Piledriver,95,,,
Intel Xeon E5-1620 V3,4,3.5,3.6,Haswell,140,,,
Intel Pentium G3250,2,3.2,,Haswell Refresh,53,Intel HD Graphics,,
Intel Pentium G3460,2,3.5,,Haswell Refresh,53,Intel HD Graphics,,125.0
Intel Xeon E5-2650 V3,10,2.3,3,Haswell,105,,,
Intel Xeon E5-2670 V3,12,2.3,3.1,Haswell,120,,,
Intel Core i5-4570S,4,2.9,,Haswell,65,Intel HD Graphics 4600,,
Intel Xeon E3-1275 V5,4,3.6,4,Skylake,80,Intel HD Graphics P530,,
AMD Opteron 6328,8,3.2,3.8,Piledriver,115,,,
AMD A6-7470K,2,3.7,4,Steamroller,65,Radeon R5 (on die),5.0,
AMD A10-7890K,4,4.1,4.3,Steamroller,95,Radeon R7 (on-die),,
Intel Core i7-6850K,6,3.6,3.8,Broadwell,140,,,
Intel Pentium G4620,2,3.7,,Kaby Lake,51,Intel HD Graphics 630,4.5,
Intel Pentium G4600,2,3.6,,Kaby Lake,51,Intel HD Graphics 630,,169.95
Intel Core i5-7500T,4,2.7,3.3,Kaby Lake,35,Intel HD Graphics 630,,199.95
Intel Core i5-7640X,4,4,4.2,Kaby Lake,112,,,
Intel Core i5-7640X,4,4,4.2,Kaby Lake,112,,,217.4
AMD A8-7670K,4,3.6,3.9,Steamroller,95,Radeon R7 (on-die),,
Intel Xeon E5-2430V2,6,2.5,3,Ivy Bridge,80,,5.0,
Intel Core i9-7960X,16,2.8,4.4,Skylake,165,,,
Intel Core i3-8300,4,3.7,,Coffee Lake,62,Intel UHD Graphics 630,,
AMD Athlon 220GE,2,3.4,,Zen,35,Radeon Vega 3,,
AMD Athlon 240GE,2,3.5,,Zen,35,Radeon Vega 3,5.0,
Intel Core i5-9500F,6,3,4.4,Coffee Lake Refresh,65,,,
Intel Core i3-9300,4,3.7,4.3,Coffee Lake Refresh,62,Intel UHD Graphics 630,,
Intel Xeon E-2236,6,3.4,4.8,Coffee Lake Refresh,80,,,
Intel Xeon E-2274G,4,4,4.9,Coffee Lake Refresh,83,Intel HD Graphics P630,,
Intel Celeron G5905T,2,3.3,,Comet Lake,35,Intel UHD Graphics 610,,
Intel Pentium Gold G6600,2,4.2,,Comet Lake,58,Intel UHD Graphics 630,,
Intel Celeron G3950,2,3,,Kaby Lake,51,Intel HD Graphics 610,,59.99
Intel Xeon E3-1220 V6,4,3,3.5,Kaby Lake,72,,,398.95
AMD Athlon II X2 240,2,2.8,,K10,65,,5.0,
AMD Athlon II X2 255,2,3.1,,K10,65,,,
Intel Celeron 450,1,2.2,,Core,35,,,
AMD Athlon II X4 620,4,2.6,,K10,95,,3.5,
AMD Phenom II X4 910,4,2.6,,K10,95,,4.0,
AMD Phenom II X4 920,4,2.8,,K10,125,,,
AMD Phenom II X4 925,4,2.8,,K10,95,,5.0,
AMD Athlon II X4 605e,4,2.3,,K10,45,,,
